App,Outside
facilitates,Outside
early,Outside
detection,Outside
treatment,Outside
of,Outside
COPD,B_Disease
exacerbation,B_Symptom-or-Side-Effect
symptoms,Outside
A,Outside
digital,Outside
health,Outside
application,Outside
for,Outside
rep,Outside
http,Outside
t,Outside
co,Outside
xoHWYCh0Ty,Outside
Saving,Outside
lives,Outside
creating,Outside
difference,Outside
thru,Outside
critical,Outside
care,Outside
A,Outside
case,Outside
of,Outside
COPD,B_Disease
with,Outside
severe,Outside
community,Outside
http,Outside
t,Outside
co,Outside
X8PKw48p0D,Outside
chronic,B_Disease
asthma,I_Disease
with,Outside
sub,Outside
optimal,Outside
control,Outside
causing,Outside
airways,B_Symptom-or-Side-Effect
remodelling,I_Symptom-or-Side-Effect
and,Outside
loss,B_Symptom-or-Side-Effect
of,I_Symptom-or-Side-Effect
reversibility,I_Symptom-or-Side-Effect
pulmonology_capsules,Outside
Early,Outside
infancy,Outside
microbial,B_Symptom-or-Side-Effect
and,Outside
metabolic,B_Symptom-or-Side-Effect
alterations,I_Symptom-or-Side-Effect
affect,Outside
risk,Outside
of,Outside
childhood,Outside
asthma,B_Disease
Marie,Outside
Claire,Outside
Arrieta1,Outside
2,Outside
Leah,Outside
http,Outside
t,Outside
co,Outside
89jtXAyyNF,Outside
Medical,Outside
News,Outside
Today,Outside
Adverse,B_Symptom-or-Side-Effect
childhood,I_Symptom-or-Side-Effect
experiences,I_Symptom-or-Side-Effect
may,Outside
increase,Outside
the,Outside
risk,Outside
of,Outside
asthma,B_Disease
study,Outside
finds,Outside
http,Outside
t,Outside
co,Outside
SEfNCDY5ph,Outside
navishealth,Outside
,
Big,Outside
city,Outside
life,Outside
may,Outside
not,Outside
be,Outside
a,Outside
key,Outside
asthma,B_Disease
risk,Outside
study,Outside
finds,Outside
http,Outside
t,Outside
co,Outside
zrmBnAbYB2,Outside
,
FDA,Outside
approves,Outside
Glaxo,Outside
Theravance's,Outside
Breo,B_Drug
Ellipta,I_Drug
asthma,B_Disease
drug,Outside
Reuters,Outside
The,Outside
U,Outside
S,Outside
Food,Outside
and,Outside
Drug,Outside
Administration,Outside
o,Outside
http,Outside
t,Outside
co,Outside
w23KfkbIl2,Outside
,
Mike's,Outside
medical,Outside
problems,Outside
COPD,B_Disease
congestive,B_Disease
heart,I_Disease
failure,I_Disease
implanted,Outside
defibrillator,Outside
pacemaker,Outside
combo,Outside
pulmonary,Outside
http,Outside
t,Outside
co,Outside
zqByqm6Y4D,Outside
,
medicalnewstoday,Outside
Malnutrition,Outside
in,Outside
U,Outside
S,Outside
greatest,Outside
cost,Outside
linked,Outside
to,Outside
seniors,Outside
depression,B_Symptom-or-Side-Effect
COPD,B_Disease
coronary,I_Disease
artery,I_Disease
di,Outside
http,Outside
t,Outside
co,Outside
